price,beds,baths,living space,city,state,zip code population,median household income,property_per_100_000,violence_per_100_000,affordability
499999.0,2.0,1.0,1100.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,True
739999.0,3.0,2.0,1008.0,Staten Island,New York,35832.0,144776.0,1440.5,350.5,False
839000.0,3.0,3.0,1680.0,Staten Island,New York,25976.0,118232.0,1440.5,350.5,False
549899.0,2.0,1.0,1243.0,Staten Island,New York,25976.0,118232.0,1440.5,350.5,False
699999.0,3.0,2.0,1649.0,Staten Island,New York,25976.0,118232.0,1440.5,350.5,False
629000.0,4.0,3.0,1216.0,Staten Island,New York,25976.0,118232.0,1440.5,350.5,False
699000.0,4.0,3.0,1838.0,Staten Island,New York,25976.0,118232.0,1440.5,350.5,False
549000.0,3.0,2.0,1450.0,Staten Island,New York,25976.0,118232.0,1440.5,350.5,False
499999.0,3.0,3.0,1140.0,Staten Island,New York,25976.0,118232.0,1440.5,350.5,False
869000.0,4.0,2.0,2000.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
824888.0,3.0,2.0,2510.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
549999.0,2.0,2.0,1530.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,True
599000.0,2.0,2.0,1350.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
264900.0,1.0,1.0,717.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,True
688000.0,3.0,2.0,1280.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
1095000.0,5.0,2.0,2250.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
478000.0,4.0,3.0,1524.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,True
1195000.0,4.0,3.0,2450.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
725000.0,3.0,2.0,2068.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
330948.0,1.0,2.0,1059.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,True
699999.0,3.0,2.0,1440.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
899900.0,3.0,3.0,2242.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
499999.0,3.0,2.0,1510.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,True
725000.0,3.0,2.0,2068.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
264900.0,1.0,1.0,717.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,True
935000.0,4.0,4.0,3626.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
789000.0,3.0,3.0,1480.0,Staten Island,New York,63935.0,133355.0,1440.5,350.5,False
